Customer_ID_Numeric,Customer_Name,City,State,Region,Last_Purchase,Recency_Days,Num_Orders,Total_Revenue,Total_Profit,Avg_Order_Value,Primary_Category,R_Score,M_Score,Segment
51,Cameron Norton,Los Angeles,California,West,2024-12-10,21,1,328.1,132.93,328.1,Clothing & Apparel,5,2,Potential
52,Mark Davis,Providence,Rhode Island,East,2024-07-19,165,1,439.7,117.04,439.7,Home & Furniture,4,3,Potential
53,Hector Lee,Chicago,Illinois,Centre,2023-10-15,443,1,68.77,29.64,68.77,Clothing & Apparel,2,1,Lost
54,Lisa Castaneda,Boise,Idaho,West,2024-12-01,30,1,43.44,11.6,43.44,Clothing & Apparel,5,1,At_Risk
55,Mr. Daniel Johnson,Charleston,West Virginia,South,2024-06-23,191,1,612.6,120.12,612.6,Home & Furniture,4,3,Potential
56,Justin Erickson,San Diego,California,West,2023-10-31,427,1,2147.64,275.89,2147.64,Home & Furniture,2,5,High_Value
57,Manuel Hanson,Reno,Nevada,West,2024-01-26,340,1,348.33,121.62,348.33,Clothing & Apparel,3,2,At_Risk
58,William Smith,New Orleans,Louisiana,South,2024-12-21,10,1,407.44,46.45,407.44,Electronics,5,3,Potential
59,Lindsay Clay,Montpelier,Vermont,East,2023-01-19,712,1,2084.1,272.17,2084.1,Electronics,1,5,High_Value
60,Jordan Harvey,Pittsburgh,Pennsylvania,East,2023-01-29,702,1,102.96,32.49,102.96,Clothing & Apparel,1,1,Lost
61,Pamela Elliott,Charleston,West Virginia,South,2023-11-03,424,1,248.45,61.95,248.45,Home & Furniture,2,2,Lost
62,Brianna Hamilton,Jacksonville,Florida,South,2024-01-13,353,1,242.98,65.79,242.98,Accessories,3,2,At_Risk
63,Kimberly Watson,Lincoln,Nebraska,Centre,2023-03-17,655,1,245.8,72.93,245.8,Clothing & Apparel,1,2,Lost
64,Joe Campbell,Houston,Texas,South,2023-09-26,462,1,692.18,193.09,692.18,Home & Furniture,2,4,High_Value
65,Noah Reilly,Chicago,Illinois,Centre,2024-12-12,19,1,622.48,196.01,622.48,Home & Furniture,5,3,Potential
66,Daniel Wells,Burlington,Vermont,East,2024-11-22,39,2,604.78,257.21,302.39,Accessories,5,3,Potential
67,Michael Lyons,Denver,Colorado,West,2023-12-21,376,1,981.57,397.53,981.57,Clothing & Apparel,3,4,Loyal
68,Juan Johnston,Des Moines,Iowa,Centre,2023-10-02,456,1,3500.68,993.02,3500.68,Home & Furniture,2,5,High_Value
69,Anna White,Newark,New Jersey,East,2024-12-23,8,1,139.8,43.82,139.8,Clothing & Apparel,5,1,At_Risk
70,Tiffany Williams,Bismarck,North Dakota,Centre,2023-10-01,457,1,1812.68,155.73,1812.68,Electronics,2,5,High_Value
71,Cameron Pope,Mobile,Alabama,South,2023-10-28,430,1,1812.54,606.34,1812.54,Home & Furniture,2,5,High_Value
72,Jack House,Baltimore,Maryland,East,2024-10-20,72,1,266.1,98.1,266.1,Accessories,5,2,Potential
73,Charles Black,Oklahoma City,Oklahoma,South,2023-11-25,402,1,772.68,97.75,772.68,Home & Furniture,3,4,Loyal
74,Paul Jenkins,Colorado Springs,Colorado,West,2023-11-16,411,1,616.47,215.53,616.47,Clothing & Apparel,2,3,At_Risk
75,Jacob Davis,Springfield,Illinois,Centre,2024-06-22,192,1,898.0,246.34,898.0,Home & Furniture,4,4,Champions
76,Matthew Vincent,Casper,Wyoming,West,2023-06-23,557,1,779.15,133.9,779.15,Electronics,1,4,High_Value
77,Calvin Young,Bismarck,North Dakota,Centre,2023-12-18,379,1,641.24,123.18,641.24,Electronics,3,4,Loyal
78,Stephanie Flores,Spokane,Washington,West,2024-11-15,46,1,731.24,196.62,731.24,Clothing & Apparel,5,4,Champions
79,Anna Wang,Houston,Texas,South,2023-12-13,384,1,182.02,87.29,182.02,Accessories,3,1,At_Risk
80,Paul Ryan,Rochester,New York,East,2023-03-03,669,1,385.05,42.21,385.05,Electronics,1,3,At_Risk
81,James White,Sacramento,California,West,2024-05-17,228,1,705.42,105.96,705.42,Home & Furniture,4,4,Champions
82,Michelle Hurley,Manchester,New Hampshire,East,2024-12-03,28,1,922.65,125.32,922.65,Home & Furniture,5,4,Champions
83,George James,New York City,New York,East,2023-04-09,632,1,227.16,85.46,227.16,Clothing & Apparel,1,2,Lost
84,Taylor Hart,Fargo,North Dakota,Centre,2024-04-20,255,1,394.47,110.19,394.47,Clothing & Apparel,3,3,Loyal
85,Robert Rowland,Cincinnati,Ohio,Centre,2024-12-10,21,1,342.55,85.98,342.55,Home & Furniture,5,2,Potential
86,Sierra Thompson,Bismarck,North Dakota,Centre,2023-03-18,654,1,655.98,98.8,655.98,Electronics,1,4,High_Value
87,Anthony Copeland,Annapolis,Maryland,East,2024-11-25,36,1,1396.42,245.62,1396.42,Electronics,5,5,Champions
88,Keith Barnes,Tucson,Arizona,West,2024-11-01,60,1,228.32,42.63,228.32,Accessories,5,2,Potential
89,Elizabeth Turner,Colorado Springs,Colorado,West,2023-04-28,613,1,160.63,44.53,160.63,Clothing & Apparel,1,1,Lost
90,Heather Smith,Annapolis,Maryland,East,2023-11-10,417,1,424.08,35.63,424.08,Electronics,2,3,At_Risk
91,Alexis Patel,Boise,Idaho,West,2024-10-27,65,1,94.65,38.75,94.65,Clothing & Apparel,5,1,At_Risk
92,Robert Gordon,Lexington,Kentucky,South,2024-12-04,27,1,56.39,19.93,56.39,Accessories,5,1,At_Risk
93,Jonathan Hardy,Sioux Falls,South Dakota,Centre,2023-12-18,379,1,245.64,51.63,245.64,Home & Furniture,3,2,At_Risk
94,Mark Torres,Chandler,Arizona,West,2023-01-22,709,1,690.76,99.86,690.76,Home & Furniture,1,4,High_Value
95,Pamela Robinson,Wichita,Kansas,Centre,2023-12-21,376,1,61.12,24.41,61.12,Accessories,3,1,At_Risk
96,Michael Moore,San Diego,California,West,2024-01-08,358,2,635.28,122.37,317.64,Clothing & Apparel,3,4,Loyal
97,Oscar Mendez,San Francisco,California,West,2024-07-02,182,1,246.99,32.53,246.99,Electronics,4,2,Potential
98,Daniel Delgado,Charleston,West Virginia,South,2024-12-14,17,1,357.51,101.92,357.51,Clothing & Apparel,5,2,Potential
99,Jennifer Chang,Springfield,Illinois,Centre,2023-10-20,438,1,467.42,138.75,467.42,Accessories,2,3,At_Risk
100,David Manning,Las Vegas,Nevada,West,2024-06-04,210,1,4635.42,1536.8,4635.42,Home & Furniture,4,5,Champions
101,Kayla Melendez,Savannah,Georgia,South,2023-09-03,485,1,728.86,325.52,728.86,Clothing & Apparel,2,4,High_Value
102,Brenda Adkins,Jersey City,New Jersey,East,2024-07-18,166,1,2438.13,462.72,2438.13,Electronics,4,5,Champions
103,Stephanie Keller,New Orleans,Louisiana,South,2024-11-11,50,1,705.15,298.92,705.15,Clothing & Apparel,5,4,Champions
104,Ellen Barnes,Topeka,Kansas,Centre,2023-01-11,720,1,632.46,237.0,632.46,Clothing & Apparel,1,4,High_Value
105,Melissa Reed,Boise,Idaho,West,2024-11-19,42,1,1996.53,397.07,1996.53,Home & Furniture,5,5,Champions
106,Jennifer Farrell,Los Angeles,California,West,2023-11-30,397,1,690.4,300.3,690.4,Accessories,3,4,Loyal
107,Thomas Montgomery,Manchester,New Hampshire,East,2024-02-09,326,1,654.62,141.69,654.62,Clothing & Apparel,3,4,Loyal
108,Nicole Castillo,Milwaukee,Wisconsin,Centre,2023-06-08,572,1,611.41,117.41,611.41,Home & Furniture,1,3,At_Risk
109,Jeffrey Clarke,Chicago,Illinois,Centre,2024-11-03,58,1,356.39,140.73,356.39,Clothing & Apparel,5,2,Potential
110,Katherine Miller,New York City,New York,East,2024-05-24,221,1,2098.29,179.84,2098.29,Electronics,4,5,Champions
111,Debbie Roberts MD,Des Moines,Iowa,Centre,2023-11-13,414,1,583.9,90.6,583.9,Electronics,2,3,At_Risk
112,Anthony Gill,Santa Fe,New Mexico,West,2024-03-01,305,1,71.56,31.17,71.56,Accessories,3,1,At_Risk
113,Richard Holland,Hartford,Connecticut,East,2023-11-06,421,1,93.44,19.47,93.44,Clothing & Apparel,2,1,Lost
114,Daniel Bennett,Worcester,Massachusetts,East,2024-10-18,74,2,3793.66,509.49,1896.83,Electronics,5,5,Champions
115,John Hunter,Billings,Montana,West,2024-05-19,226,1,198.3,91.63,198.3,Accessories,4,2,Potential
116,Patrick Jensen,Colorado Springs,Colorado,West,2024-04-22,253,1,182.62,83.04,182.62,Accessories,3,1,At_Risk
117,Joseph Velazquez,Detroit,Michigan,Centre,2024-04-07,268,1,291.09,42.46,291.09,Home & Furniture,3,2,At_Risk
118,Jennifer Santos,New Haven,Connecticut,East,2024-08-31,122,1,633.2,117.59,633.2,Electronics,4,4,Champions
119,Robert Blankenship,Tallahassee,Florida,South,2024-11-19,42,1,177.32,37.76,177.32,Clothing & Apparel,5,1,At_Risk
120,Michael Baldwin,Columbia,South Carolina,South,2023-04-29,612,1,1337.52,479.64,1337.52,Clothing & Apparel,1,5,High_Value
121,Kevin Cortez,Cedar Rapids,Iowa,Centre,2024-06-25,189,2,951.3,196.49,475.65,Clothing & Apparel,4,4,Champions
122,Laura Wilson,Indianapolis,Indiana,Centre,2023-05-27,584,1,90.9,32.88,90.9,Accessories,1,1,Lost
123,Andre Colon,Boston,Massachusetts,East,2023-12-27,370,1,945.7,131.55,945.7,Home & Furniture,3,4,Loyal
124,Maria Smith,Little Rock,Arkansas,South,2023-12-31,366,1,449.18,197.96,449.18,Accessories,3,3,Loyal
125,Rebecca Kelly,Lexington,Kentucky,South,2024-12-18,13,1,197.2,73.3,197.2,Clothing & Apparel,5,2,Potential
126,Jennifer Curry,Portland,Oregon,West,2023-04-20,621,1,525.12,51.81,525.12,Electronics,1,3,At_Risk
127,Dawn Barnes,Providence,Rhode Island,East,2024-11-05,56,1,137.54,32.91,137.54,Clothing & Apparel,5,1,At_Risk
128,Matthew Curtis,Denver,Colorado,West,2024-04-07,268,1,148.41,52.87,148.41,Clothing & Apparel,3,1,At_Risk
129,Willie Crawford,Philadelphia,Pennsylvania,East,2024-07-31,153,1,1358.08,337.35,1358.08,Clothing & Apparel,4,5,Champions
130,Emily Davis,Augusta,Maine,East,2023-06-01,579,1,429.36,82.06,429.36,Electronics,1,3,At_Risk
131,John Bryan,Pittsburgh,Pennsylvania,East,2024-06-17,197,1,1244.55,252.3,1244.55,Clothing & Apparel,4,5,Champions
132,William Sutton,Huntington,West Virginia,South,2023-04-05,636,1,103.84,29.73,103.84,Clothing & Apparel,1,1,Lost
133,Jackie Fowler,St. Louis,Missouri,Centre,2024-11-29,32,1,61.42,17.6,61.42,Clothing & Apparel,5,1,At_Risk
134,Danielle Stewart,Dover,Delaware,East,2023-11-19,408,1,49.97,21.83,49.97,Clothing & Apparel,2,1,Lost
135,Deborah Jarvis,New Haven,Connecticut,East,2024-08-28,125,1,1243.11,422.5,1243.11,Home & Furniture,4,5,Champions
136,Mr. Michael Larson,Cleveland,Ohio,Centre,2023-06-15,565,1,341.34,121.82,341.34,Accessories,1,2,Lost
137,Barbara Davis,Aurora,Illinois,Centre,2024-05-12,233,1,43.54,10.18,43.54,Clothing & Apparel,4,1,At_Risk
138,Allen Graham,Worcester,Massachusetts,East,2024-11-04,57,1,719.58,226.12,719.58,Clothing & Apparel,5,4,Champions
139,Dr. Renee Smith,Dover,Delaware,East,2024-07-17,167,1,2135.8,728.76,2135.8,Home & Furniture,4,5,Champions
140,Kayla Holmes,Fargo,North Dakota,Centre,2024-03-23,283,1,1118.82,201.88,1118.82,Home & Furniture,3,5,Loyal
141,Michael Bruce,New Orleans,Louisiana,South,2023-12-18,379,1,538.64,166.28,538.64,Clothing & Apparel,3,3,Loyal
142,Kimberly Brooks,Missoula,Montana,West,2023-08-26,493,1,184.39,71.48,184.39,Clothing & Apparel,2,1,Lost
143,Corey Booth,Little Rock,Arkansas,South,2024-01-08,358,1,897.23,308.5,897.23,Home & Furniture,3,4,Loyal
144,Brandon Chen,Columbia,South Carolina,South,2023-04-28,613,1,428.1,141.17,428.1,Accessories,1,3,At_Risk
145,Dr. Alexandra Owen,Baltimore,Maryland,East,2023-09-22,466,1,846.17,129.24,846.17,Electronics,2,4,High_Value
146,Beth Perez,Sacramento,California,West,2023-03-20,652,1,1238.92,349.09,1238.92,Home & Furniture,1,5,High_Value
147,Anthony English,Houston,Texas,South,2024-02-09,326,1,89.0,34.38,89.0,Clothing & Apparel,3,1,At_Risk
148,Mark Perez,Savannah,Georgia,South,2024-02-18,317,1,489.84,110.58,489.84,Accessories,3,3,Loyal
149,Curtis Wright,Fargo,North Dakota,Centre,2023-11-09,418,1,568.07,80.84,568.07,Electronics,2,3,At_Risk
150,John Ward,Spokane,Washington,West,2023-10-13,445,1,168.88,60.29,168.88,Clothing & Apparel,2,1,Lost
151,Christian Sosa,Boston,Massachusetts,East,2024-04-24,251,1,1009.89,129.3,1009.89,Home & Furniture,3,4,Loyal
152,Donald Flores,Augusta,Maine,East,2024-09-26,96,1,911.64,114.18,911.64,Electronics,4,4,Champions
153,Christopher Dunn,Tallahassee,Florida,South,2024-01-14,352,1,205.16,48.8,205.16,Home & Furniture,3,2,At_Risk
154,Anna Garcia,Gulfport,Mississippi,South,2024-10-24,68,1,475.05,159.26,475.05,Home & Furniture,5,3,Potential
155,Michelle Roth,Salt Lake City,Utah,West,2024-11-15,46,1,459.16,194.72,459.16,Clothing & Apparel,5,3,Potential
156,Lisa Rush,Tulsa,Oklahoma,South,2024-10-09,83,1,539.57,185.75,539.57,Home & Furniture,4,3,Potential
157,Emily Foley,Milwaukee,Wisconsin,Centre,2024-11-03,58,1,1119.68,160.65,1119.68,Home & Furniture,5,5,Champions
158,Teresa Figueroa,Newark,New Jersey,East,2024-02-23,312,1,345.66,98.5,345.66,Clothing & Apparel,3,2,At_Risk
159,Lisa Barrett,Provo,Utah,West,2024-12-21,10,1,209.28,89.4,209.28,Clothing & Apparel,5,2,Potential
160,Tiffany Cox,Wichita,Kansas,Centre,2024-10-23,69,1,273.95,32.07,273.95,Electronics,5,2,Potential
161,Jonathan Robertson,Glendale,Arizona,West,2024-08-01,152,1,183.62,82.37,183.62,Accessories,4,1,At_Risk
162,Michael Myers,Lincoln,Nebraska,Centre,2023-05-04,607,1,824.04,168.8,824.04,Home & Furniture,1,4,High_Value
163,Dave Castillo,Nashua,New Hampshire,East,2024-11-04,57,1,299.99,86.72,299.99,Clothing & Apparel,5,2,Potential
164,James Miller,Fayetteville,Arkansas,South,2023-07-12,538,1,903.96,206.93,903.96,Clothing & Apparel,1,4,High_Value
165,Thomas Zuniga,Annapolis,Maryland,East,2024-01-29,337,1,375.35,59.87,375.35,Electronics,3,3,Loyal
166,Craig Contreras,Nashua,New Hampshire,East,2023-07-25,525,1,889.5,129.82,889.5,Home & Furniture,1,4,High_Value
167,Cynthia Moore,Virginia Beach,Virginia,South,2024-11-18,43,1,246.9,105.8,246.9,Clothing & Apparel,5,2,Potential
168,Theresa Carter,Missoula,Montana,West,2023-08-26,493,1,248.14,72.99,248.14,Accessories,2,2,Lost
169,Richard Brown,Augusta,Maine,East,2023-11-04,423,1,157.62,53.47,157.62,Clothing & Apparel,2,1,Lost
170,Kristina Hanson,Wilmington,Delaware,East,2023-08-05,514,1,1673.49,200.55,1673.49,Electronics,2,5,High_Value
171,Alexis Orr,Nashua,New Hampshire,East,2024-09-17,105,1,204.48,53.58,204.48,Home & Furniture,4,2,Potential
172,Alexis May,Manchester,New Hampshire,East,2023-02-12,688,1,458.31,59.48,458.31,Electronics,1,3,At_Risk
173,Carol Gray,St. Louis,Missouri,Centre,2023-03-16,656,1,213.02,56.16,213.02,Accessories,1,2,Lost
174,Dale Woods,Los Angeles,California,West,2024-11-15,46,1,893.09,89.23,893.09,Electronics,5,4,Champions
175,Christopher Stewart,Fayetteville,Arkansas,South,2024-12-01,30,1,404.12,85.03,404.12,Clothing & Apparel,5,3,Potential
176,Dennis Short,Tallahassee,Florida,South,2024-07-11,173,1,114.01,48.32,114.01,Clothing & Apparel,4,1,At_Risk
177,Victoria Smith,Indianapolis,Indiana,Centre,2024-11-23,38,1,350.89,126.27,350.89,Clothing & Apparel,5,2,Potential
178,Mary Jackson,St. Paul,Minnesota,Centre,2023-05-12,599,1,888.77,132.95,888.77,Home & Furniture,1,4,High_Value
179,Cathy Mills,Colorado Springs,Colorado,West,2023-11-07,420,1,165.25,50.86,165.25,Clothing & Apparel,2,1,Lost
180,Terri Ponce,Tucson,Arizona,West,2023-12-14,383,1,281.96,46.6,281.96,Electronics,3,2,At_Risk
181,Brandon West,Seattle,Washington,West,2024-07-26,158,1,1230.56,257.32,1230.56,Home & Furniture,4,5,Champions
182,Brittany King MD,Hartford,Connecticut,East,2024-01-21,345,1,1676.4,408.84,1676.4,Home & Furniture,3,5,Loyal
183,Mr. Arthur Livingston,Burlington,Vermont,East,2023-12-06,391,1,306.36,102.58,306.36,Clothing & Apparel,3,2,At_Risk
184,Michael Anderson,New York City,New York,East,2023-11-17,410,2,730.72,234.08,365.36,Clothing & Apparel,2,4,High_Value
185,Matthew Montgomery,Spokane,Washington,West,2024-11-20,41,1,215.7,83.62,215.7,Clothing & Apparel,5,2,Potential
186,Barry Russell,Provo,Utah,West,2023-08-04,515,1,299.5,109.74,299.5,Clothing & Apparel,2,2,Lost
187,Lisa Nguyen,Seattle,Washington,West,2024-10-10,82,1,432.82,176.86,432.82,Accessories,4,3,Potential
188,Luis Duncan,Huntington,West Virginia,South,2023-12-29,368,1,393.39,50.03,393.39,Electronics,3,3,Loyal
189,Amber Woodard,Madison,Wisconsin,Centre,2024-03-05,301,1,371.6,103.9,371.6,Accessories,3,3,Loyal
190,Stacey Hayes,Providence,Rhode Island,East,2023-11-13,414,1,1271.55,317.23,1271.55,Clothing & Apparel,2,5,High_Value
191,Michael Medina,Wichita,Kansas,Centre,2023-06-16,564,1,95.57,34.24,95.57,Accessories,1,1,Lost
192,Jeremy Williams,Pittsburgh,Pennsylvania,East,2024-07-01,183,2,1688.43,286.12,844.215,Electronics,4,5,Champions
193,Diane Pena,Columbia,South Carolina,South,2024-09-07,115,1,645.6,256.89,645.6,Clothing & Apparel,4,4,Champions
194,Stephanie Roth,Missoula,Montana,West,2024-11-25,36,1,865.2,364.53,865.2,Accessories,5,4,Champions
195,Tammy Harrison,Burlington,Vermont,East,2023-02-20,680,1,227.68,42.63,227.68,Electronics,1,2,Lost
196,Richard Armstrong,Rapid City,South Dakota,Centre,2023-06-18,562,1,533.26,84.81,533.26,Electronics,1,3,At_Risk
197,Stephanie Johnston,Denver,Colorado,West,2023-11-06,421,1,1677.62,235.53,1677.62,Electronics,2,5,High_Value
198,Wanda Nelson,Lexington,Kentucky,South,2023-04-16,625,1,126.53,35.37,126.53,Clothing & Apparel,1,1,Lost
199,Mary Johnson,Boise,Idaho,West,2024-06-24,190,1,187.96,57.37,187.96,Accessories,4,1,At_Risk
200,Daniel Porter,Fayetteville,Arkansas,South,2024-04-15,260,1,709.35,164.07,709.35,Home & Furniture,3,4,Loyal
201,Richard Shields,New York City,New York,East,2023-11-14,413,1,38.21,16.76,38.21,Clothing & Apparel,2,1,Lost
202,Erik Jensen,Hartford,Connecticut,East,2023-03-07,665,1,701.19,91.25,701.19,Electronics,1,4,High_Value
203,Gabrielle Brock,Nashua,New Hampshire,East,2024-04-27,248,1,27.0,5.54,27.0,Clothing & Apparel,4,1,At_Risk
204,Amanda Myers,Missoula,Montana,West,2023-05-04,607,1,775.58,241.39,775.58,Clothing & Apparel,1,4,High_Value
205,Amy Adams,Los Angeles,California,West,2024-05-25,220,1,722.62,145.36,722.62,Home & Furniture,4,4,Champions
206,Austin Odom,Provo,Utah,West,2024-06-28,186,1,1815.3,644.51,1815.3,Clothing & Apparel,4,5,Champions
207,Christina Pope,Reno,Nevada,West,2024-12-13,18,1,1190.2,258.48,1190.2,Home & Furniture,5,5,Champions
208,Vanessa Hudson,Colorado Springs,Colorado,West,2024-11-02,59,1,1080.56,242.31,1080.56,Home & Furniture,5,5,Champions
209,Tyler Thompson,Jacksonville,Florida,South,2024-10-08,84,1,1159.26,189.81,1159.26,Home & Furniture,4,5,Champions
210,Larry Vargas,Worcester,Massachusetts,East,2024-10-28,64,1,635.23,143.08,635.23,Home & Furniture,5,4,Champions
211,Jonathan Stewart,Fayetteville,Arkansas,South,2024-07-28,156,1,2257.29,771.81,2257.29,Home & Furniture,4,5,Champions
212,Leah Smith,Richmond,Virginia,South,2024-12-10,21,1,1032.18,205.81,1032.18,Electronics,5,4,Champions
213,Dawn Mccormick,Sacramento,California,West,2024-10-31,61,1,253.79,102.36,253.79,Accessories,5,2,Potential
214,Donald Rodriguez,Seattle,Washington,West,2024-10-05,87,1,330.36,129.95,330.36,Accessories,4,2,Potential
215,Michelle Brown,Bismarck,North Dakota,Centre,2023-12-13,384,1,1170.68,325.96,1170.68,Clothing & Apparel,3,5,Loyal
216,Jenny Myers,Wilmington,Delaware,East,2023-06-11,569,1,192.11,80.43,192.11,Accessories,1,1,Lost
217,Brandon Kirk,Glendale,Arizona,West,2023-11-03,424,1,112.72,39.1,112.72,Accessories,2,1,Lost
